                 Country;              IR;               R;              AR
            Burkina_Faso;               0;           1.113;           6.000
       Brunei_Darussalam;               0;           5.000;          30.000
                   China;               0;           1.272;           0.000
          Cayman_Islands;               0;           2.923;         313.000
                Dominica;               0;           5.000;          25.000
                    Fiji;               0;           0.919;           3.000
             Isle_of_Man;               0;           5.000;         397.000
                Cambodia;               0;           0.717;           1.000
                    Laos;               0;           1.698;           0.000
               Sri_Lanka;               0;           0.674;          13.000
                 Myanmar;               0;           1.062;           1.000
                Mongolia;               0;           0.356;           9.000
               Mauritius;               0;           1.503;          27.000
           New_Caledonia;               0;           2.871;           8.000
                   Niger;               0;           0.837;           5.000
             New_Zealand;               0;           1.208;          32.000
              San_Marino;               0;           4.655;        1861.000
                 Somalia;               0;           0.636;          21.000
                    Chad;               0;           1.108;           6.000
                Thailand;               0;           0.989;           5.000
             Timor_Leste;               0;           7.797;           2.000
                Tanzania;               0;           5.000;           1.000
                  Uganda;               0;           1.261;           3.000
                Viet_nam;               0;           1.683;           1.000
Central_African_Republic;               1;           0.268;          97.000
                   Congo;               1;           0.955;           4.000
                 Grenada;               1;           2.028;          21.000
                  Jordan;               1;           1.115;          13.000
             South_Korea;               1;           0.902;          13.000
             Saint_Lucia;               1;           1.371;          14.000
                Malaysia;               1;           0.917;          28.000
        Papua_New_Guinea;               1;           1.732;           2.000
        French_Polynesia;               1;           9.574;          23.000
                   Sudan;               1;           0.596;          28.000
                  Angola;               2;           1.175;           4.000
                   Benin;               2;           0.933;          18.000
                  Bhutan;               2;           0.965;          14.000
                    Cuba;               2;           1.490;          24.000
               Greenland;               2;           1.771;          25.000
                 Hungary;               2;           0.975;          47.000
                 Liberia;               2;           0.934;          25.000
              Mozambique;               2;           1.134;           7.000
                   Syria;               2;           1.335;           6.000
                    Togo;               2;           1.115;          12.000
                 Tunisia;               2;           1.108;          14.000
             Afghanistan;               3;           0.787;          97.000
                 Finland;               3;           1.237;         135.000
                 Georgia;               3;           0.850;          32.000
                   Haiti;               3;           0.819;          67.000
                  Latvia;               3;           1.225;          65.000
                 Nigeria;               3;           0.879;          22.000
                  Rwanda;               3;           0.842;          17.000
                 Jamaica;               4;           1.111;          31.000
     Trinidad_and_Tobago;               4;           1.652;          14.000
                Cameroon;               5;           0.932;          68.000
                   Egypt;               5;           0.688;          94.000
                 Bermuda;               6;           1.180;         246.000
                   Italy;               6;           1.080;         392.000
                Pakistan;               6;           0.757;         130.000
                 Uruguay;               6;           0.867;          39.000
                  Belize;               7;           2.431;          18.000
                 Estonia;               7;           1.912;         158.000
               Lithuania;               7;           1.172;          81.000
               Nicaragua;               7;           0.877;          60.000
                  Norway;               7;           1.561;         165.000
                Slovakia;               7;           1.061;          44.000
                Ethiopia;               8;           1.046;          18.000
                  Greece;               8;           1.544;          45.000
           Liechtenstein;               8;           1.291;         226.000
                Barbados;               9;           1.665;          46.000
               Indonesia;               9;           1.017;          43.000
              Mauritania;               9;           0.739;         142.000
                 Senegal;               9;           0.911;          65.000
